Date,Store,Category,Sales,Units_Sold,Promotion
01-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4249.3,16,0
01-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4932.25,19,0
01-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5265.1,21,0
01-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4976.1,19,0
01-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4631.6,18,0
01-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,4323.7,17,0
01-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4853.5,19,0
01-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,3763.25,15,0
01-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5355.9,21,0
01-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5138.65,20,0
01-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,4899.65,19,0
01-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5146,20,0
01-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4900.3,19,0
01-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,3946.4,15,0
01-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4657.75,18,0
01-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5169,20,0
02-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4722.7,18,0
02-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5258.35,21,0
02-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4795.7,19,0
02-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5114.35,20,0
02-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4554.2,18,0
02-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4984,19,0
02-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4700.15,18,1
02-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4911.25,19,0
02-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,4473.5,17,0
02-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,4741.05,18,0
02-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,4345.2,17,1
02-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5934.55,23,0
02-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5417.7,21,0
02-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4082.2,16,0
02-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4490.75,17,0
02-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4305.95,17,1
03-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5122.8,20,0
03-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4532.35,18,0
03-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4535.9,18,1
03-01-2022,KPN Fresh Giri Nagar,Frozen Foods,4132.7,16,0
03-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4761.55,19,0
03-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5691.65,22,0
03-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5293.15,21,0
03-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5357.15,21,1
03-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5061.65,20,0
03-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,4812.05,19,0
03-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5388.7,21,0
03-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5142.85,20,0
03-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4673.35,18,0
03-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4205.5,16,0
03-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4529.95,18,0
03-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4340.2,17,0
04-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4923.5,19,0
04-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5835.95,23,1
04-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4947.15,19,0
04-01-2022,KPN Fresh Giri Nagar,Frozen Foods,4955.15,19,0
04-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5130.2,20,1
04-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,4721.15,18,0
04-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4915.45,19,0
04-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,4031.8,16,1
04-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,4613.45,18,0
04-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5897.85,23,0
04-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5244.15,20,0
04-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,6115.95,24,0
04-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5022.1,20,0
04-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4748.95,18,1
04-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4693.3,18,0
04-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4975.5,19,0
05-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5033.8,20,0
05-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4646.5,18,0
05-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4815.45,19,0
05-01-2022,KPN Fresh Giri Nagar,Frozen Foods,4201.65,16,0
05-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5909.95,23,1
05-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,4686.8,18,0
05-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5692.4,22,0
05-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5752.25,23,1
05-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,3996.4,15,0
05-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5509,22,0
05-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5601.15,22,0
05-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4830.05,19,1
05-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5700.85,22,0
05-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5532.3,22,0
05-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,6093.8,24,0
05-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5307.45,21,1
06-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4584.4,18,0
06-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5107.2,20,1
06-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5824.6,23,1
06-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5111.7,20,0
06-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4554.2,18,0
06-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5341.9,21,0
06-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5366.3,21,0
06-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5357.7,21,0
06-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,4866.45,19,0
06-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5380.35,21,0
06-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,4390.15,17,0
06-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4841.7,19,1
